date,open,high,low,close
2016/2/16,15849.47,16341.56,15809.58,16054.43
2016/2/15,15248.38,16155.1,15243.88,16022.58
2016/2/12,15426.27,15437.22,14865.77,14952.61
2016/2/10,16127.86,16163.03,15429.99,15713.39
2016/2/9,16666.79,16668.7,16025.94,16085.44
2016/2/8,16620.91,17099.01,16552.3,17004.3
2016/2/5,16790.53,16893.12,16627.8,16819.59
2016/2/4,17071.11,17209.56,16941.88,17044.99
2016/2/3,17497.41,17515.68,17080.57,17191.25
2016/2/2,17716.52,17864.7,17684.66,17750.68
2016/2/1,17699.6,17905.37,17666.48,17865.23
2016/1/29,17155.06,17638.93,16767.09,17518.3
2016/1/28,17059.84,17235.44,16942.13,17041.45
2016/1/27,16949.19,17242.27,16947.95,17163.92
2016/1/26,16833.13,16839.52,16652.26,16708.9
2016/1/25,17145.81,17208.24,16922.21,17110.91
2016/1/22,16336.72,16993.96,16332.45,16958.53
2016/1/21,16466.86,16734.58,16017.26,16017.26
2016/1/20,17030.28,17031.32,16387.61,16416.19
2016/1/19,16902.29,17088.31,16812.65,17048.37
2016/1/18,16826.93,17037.26,16665.05,16955.57
2016/1/15,17522.46,17597.87,17057.6,17147.11
2016/1/14,17384.93,17393.83,16944.41,17240.95
2016/1/13,17449.12,17717.75,17414.55,17715.63
2016/1/12,17470.93,17546.57,17184.78,17218.96
2016/1/8,17562.23,17975.31,17509.64,17697.96
2016/1/7,18139.77,18172.04,17767.34,17767.34
2016/1/6,18410.57,18469.38,18064.3,18191.32
2016/1/5,18398.76,18547.38,18327.52,18374
2016/1/4,18818.58,18951.12,18394.43,18450.98
2015/12/30,19070.83,19113.18,19017.27,19033.71
2015/12/29,18843.39,18991.01,18783.36,18982.23
2015/12/28,18838.91,18922.9,18764.54,18873.35
2015/12/25,18823.91,18870.7,18744.44,18769.06
2015/12/24,19071.41,19071.41,18780.94,18789.69
2015/12/22,18927.86,18943.46,18824.65,18886.7
2015/12/21,18845.5,18979.83,18651.13,18916.02
2015/12/18,19320.46,19869.08,18982.25,18986.8
2015/12/17,19364.57,19507.17,19325.15,19353.56
2015/12/16,18868.2,19054.89,18859.11,19049.91
2015/12/15,18869.04,18897.87,18562.51,18565.9
2015/12/14,18887.09,18911.78,18611.09,18883.42
2015/12/11,19020.75,19282.21,19020.75,19230.48
2015/12/10,19070.02,19125.06,19025.78,19046.55
2015/12/9,19391.5,19475.4,19260.12,19301.07
2015/12/8,19689.87,19764.21,19475.28,19492.6
2015/12/7,19710.39,19811.51,19677.21,19698.15
